system:index,RTENAME,RTENO,area,.geo
127,BUCHANAN,69023.0,22.176222568872554,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,BURGDORF,33208.0,16.009774468857234,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,CABARTON,33111.0,16.32386494342831,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,CHESTNUT,53039.0,16.135272154335166,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,CHEWELAH,89008.0,15.290757234359683,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,COQUILLE,69217.0,16.021977685738374,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,DONNELLY,69247.0,20.697592524555787,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,ELK LAKE,69052.0,15.192362550750607,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,ELLISTON,53027.0,14.872158727558213,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,GARFIELD,69041.0,16.630420072365194,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,HARTLINE,89056.0,16.287718267539827,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,HIGHWOOD,53018.0,16.561648610370693,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,KAMILCHE,89010.0,18.046663136565577,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,KEYSTONE,89057.0,16.937936401087615,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,LAKEVIEW,69253.0,24.83476111279107,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,MONTAGUE,69044.0,16.07562353820466,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,MONUMENT,69240.0,23.414213739292276,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,MUD LAKE,33221.0,15.689089005560682,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,MUKILTEO,89072.0,16.00063359722734,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,NEWHALEM,89004.0,15.159889303860302,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,NEZPERCE,33005.0,19.37223782028187,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,NINEMILE,53064.0,18.35651150909928,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,PACKWOOD,89043.0,16.324682246645228,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,POTHOLES,89063.0,17.068386735646403,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,PRESCOTT,89046.0,16.225900280499395,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,PROSPECT,69251.0,26.728388872058815,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,RED ROCK,53047.0,17.16437405145526,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,SKALKAHO,53076.0,24.794950049417878,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,SQUIRREL,33016.0,14.65213870200674,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,ST REGIS,53013.0,16.397877748269003,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,TONASKET,89030.0,15.900691319163592,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,TRIANGLE,33023.0,15.50819560667892,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,TUALATIN,69002.0,15.540007818841914,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,UMATILLA,69105.0,17.39151985549934,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,WALDPORT,69209.0,14.471083047043502,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,WINBERRY,69019.0,16.915780171966908,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,WINTHROP,89029.0,15.867668949157473,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,BALD MTN.,69220.0,16.058915611213223,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,BALD MTN.,55101.0,15.520581480330891,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,BARNHOUSE,69213.0,22.18553555730701,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,BICKLETON,89026.0,15.7334782339614,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,CAPE HORN,33012.0,14.853809343275115,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,CARNATION,89111.0,15.613255566191784,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,CHINCHALO,69252.0,23.241058765808816,"{""type"":""MultiPoint"",""coordinates"":[]}"
