"system:index","RTENAME","RTENO","date","meanHSI"
"0_00000000000000000c10","NEZPERCE",33005,"1985-05-01",0.3098854156588146
"0_00000000000000000f2f","NINEMILE",53064,"1985-05-01",0.2934656931347444
"0_0000000000000000022c","PACKWOOD",89043,"1985-05-01",0.2937506545742091
"0_0000000000000000023e","POTHOLES",89063,"1985-05-01",0.3409242250487583
"0_0000000000000000022e","PRESCOTT",89046,"1985-05-01",0.2534183175072443
"0_000000000000000011e8","PROSPECT",69251,"1985-05-01",0.2884107871957793
"0_00000000000000000f2d","RED ROCK",53047,"1985-05-01",0.2888423479879284
"0_00000000000000000f32","SKALKAHO",53076,"1985-05-01",0.2033329911731179
"0_00000000000000000c19","SQUIRREL",33016,"1985-05-01",0.2884466170487064
"0_00000000000000000f0c","ST REGIS",53013,"1985-05-01",0.259523971832272
"0_00000000000000000220","TONASKET",89030,"1985-05-01",0.3722936898134257
"0_00000000000000000c1f","TRIANGLE",33023,"1985-05-01",0.24376200685617624
"0_0000000000000000117a","TUALATIN",69002,"1985-05-01",0.5639767771166444
"0_000000000000000011ad","UMATILLA",69105,"1985-05-01",0.248408024328894
"0_000000000000000011bf","WALDPORT",69209,"1985-05-01",0.40102893634163417
"0_00000000000000001187","WINBERRY",69019,"1985-05-01",0.5378339355971455
"0_0000000000000000021f","WINTHROP",89029,"1985-05-01",0.24215230738824808
"0_000000000000000011c9","BALD MTN.",69220,"1985-05-01",0.19175671727070767
"0_00000000000000000f8a","BALD MTN.",55101,"1985-05-01",0.1669060264898556
"0_000000000000000011c3","BARNHOUSE",69213,"1985-05-01",0.19828878453136484
"0_0000000000000000021c","BICKLETON",89026,"1985-05-01",0.2388725626194773
"0_00000000000000000c15","CAPE HORN",33012,"1985-05-01",0.23466684649340208
"0_00000000000000000253","CARNATION",89111,"1985-05-01",0.5612562793649997
"0_000000000000000011e9","CHINCHALO",69252,"1985-05-01",0.19561224503338015
"0_00000000000000001181","COOL CAMP",69010,"1985-05-01",0.2821667559854313
"0_0000000000000000025f","DECEPTION",89905,"1985-05-01",0.653681060288953
"0_0000000000000000024b","DEER PARK",89077,"1985-05-01",0.569477628748967
"0_00000000000000001182","DESCHUTES",69011,"1985-05-01",0.2907063911047143
"0_0000000000000000119c","EIGHTMILE",69045,"1985-05-01",0.2873468539529651
"0_000000000000000011ab","FISH LAKE",69062,"1985-05-01",0.3323558983512301
"0_000000000000000011e1","FISH LAKE",69244,"1985-05-01",0.23216580961119115
"0_00000000000000000f3e","GREENOUGH",53905,"1985-05-01",0.20162399339190815
"0_000000000000000011ae","HASH ROCK",69112,"1985-05-01",0.21027783045151077
"0_00000000000000000ade","IRON GATE",14900,"1985-05-01",0.3060350908312484
"0_00000000000000000f87","JARBRIDGE",55037,"1985-05-01",0.19019321036029177
"0_00000000000000000f01","KALISPELL",53002,"1985-05-01",0.34425146602941686
"0_00000000000000000f00","LIBBY DAM",53001,"1985-05-01",0.23211579350564415
"0_00000000000000000c11","LOLO PASS",33006,"1985-05-01",0.24085297649331544
"0_0000000000000000117c","LONE ROCK",69004,"1985-05-01",0.3518877266393239
"0_00000000000000000c20","MAGIC MTN",33025,"1985-05-01",0.22586424842351463
"0_00000000000000000255","MONTESAND",89133,"1985-05-01",0.4447046887863182
"0_0000000000000000024e","MT. ADAMS",89080,"1985-05-01",0.2504443931366618
"0_000000000000000011c5","NEWBRIDGE",69215,"1985-05-01",0.3348406220943115
"0_00000000000000000232","NIGHTHAWK",89050,"1985-05-01",0.4235224183098329
"0_00000000000000000245","NORTHPORT",89071,"1985-05-01",0.3694210108373108
"0_0000000000000000119d","PENDLETON",69046,"1985-05-01",0.4164161831287794
"0_00000000000000000c22","POCATELLO",33027,"1985-05-01",0.28657977739554424
"0_000000000000000011f2","SCAPPOOSE",69904,"1985-05-01",0.5241934011576628
"0_000000000000000011e6","SHEAVILLE",69249,"1985-05-01",0.30513227439261664
"0_0000000000000000117b","SHELLROCK",69003,"1985-05-01",0.20790039217555983
"0_0000000000000000017e","SNOWVILLE",85302,"1985-05-01",0.16049843224404656
"0_000000000000000011b1","SUMMIT PR",69136,"1985-05-01",0.228623484252587
"0_0000000000000000118a","WAGONTIRE",69022,"1985-05-01",0.31053287641716365
"0_00000000000000000259","WAITSBURG",89183,"1985-05-01",0.5161702981294548
"0_000000000000000011ac","BATTLE MTN",69063,"1985-05-01",0.2254106289907138
"0_00000000000000000f2c","BEAVERHEAD",53046,"1985-05-01",0.29067696723832853
"0_000000000000000011d7","BLACK MTN.",69234,"1985-05-01",0.3103353837079997
"0_000000000000000011c0","BLUE RIVER",69210,"1985-05-01",0.275177342861453
"0_00000000000000001185","BRIDGEPORT",69015,"1985-05-01",0.4036864135982931
"0_000000000000000011d4","CATLOW RIM",69231,"1985-05-01",0.2948480796174973
"0_00000000000000000c3b","CEDAR HILL",33225,"1985-05-01",0.2605008024221018
"0_000000000000000011a1","CLEARWATER",69051,"1985-05-01",0.20112880840825184
"0_00000000000000000252","CLOVERLAND",89084,"1985-05-01",0.30220715503385104
"0_000000000000000002ff","COLTER BAY",92008,"1985-05-01",0.21291955385545777
"0_0000000000000000118e","DAYS CREEK",69026,"1985-05-01",0.3297978708359803
"0_000000000000000011de","DESOLATION",69241,"1985-05-01",0.19535966081602849
"0_000000000000000011dc","DONNYBROOK",69239,"1985-05-01",0.2552641179185611
"0_00000000000000000c39","DOUGAL RES",33223,"1985-05-01",0.24949949606523167
"0_0000000000000000022d","ELLENSBURG",89044,"1985-05-01",0.28286552108166607
"0_00000000000000000f31","FISH CREEK",53075,"1985-05-01",0.2391384682231864
"0_000000000000000011eb","FLOOK LAKE",69254,"1985-05-01",0.1894817727069983
"0_000000000000000011ca","GREEN MTN.",69221,"1985-05-01",0.3059115696992719
"0_00000000000000000211","HARRINGTON",89015,"1985-05-01",0.2927808241696179
"0_000000000000000011a6","HAZEL CAMP",69057,"1985-05-01",0.4617312718110486
"0_00000000000000000c3a","HOT SPRING",33224,"1985-05-01",0.2028511898817825
"0_00000000000000000f39","LOGAN PASS",53900,"1985-05-01",0.22624571184435896
"0_00000000000000000c40","LOST RIVER",33902,"1985-05-01",0.17571492154624052
"0_00000000000000000210","MOSES LAKE",89014,"1985-05-01",0.3698662998575473
"0_0000000000000000023d","MT RAINIER",89061,"1985-05-01",0.2345523413609733
"0_00000000000000000243","OMAK CREEK",89069,"1985-05-01",0.3559804794036256
"0_00000000000000000f30","PABLO RES.",53074,"1985-05-01",0.487604352614136
"0_000000000000000011f0","RILEY PEAK",69902,"1985-05-01",0.2873766136064445
"0_000000000000000011a7","SECRET VAL",69058,"1985-05-01",0.34121398573066564
"0_0000000000000000022a","SOUTH ELMA",89041,"1985-05-01",0.473895964624747
"0_00000000000000000221","TWIN LAKES",89031,"1985-05-01",0.3567503038065135
"0_00000000000000000261","VASHON IS.",89907,"1985-05-01",0.5489922782305258
"0_00000000000000000208","WARM BEACH",89003,"1985-05-01",0.5800127948871378
"0_0000000000000000118d","WEDDERBURN",69025,"1985-05-01",0.4072666858234748
"0_00000000000000000f34","WISE RIVER",53087,"1985-05-01",0.22823143013289815
"0_00000000000000001193","ALVORD LAKE",69031,"1985-05-01",0.27838263522227774
"0_00000000000000000c28","BLACKFT RES",33128,"1985-05-01",0.2005815240507428
"0_00000000000000000213","BUNKER HILL",89017,"1985-05-01",0.4431122393863976
"0_0000000000000000025c","CASCADE RIV",89902,"1985-05-01",0.3278001941425531
"0_00000000000000000236","CEDAR FALLS",89054,"1985-05-01",0.4074383157069564
"0_00000000000000000c1b","CENTERVILLE",33018,"1985-05-01",0.3843538718417373
"0_00000000000000000c42","CIRCULAR BU",33904,"1985-05-01",0.23335608497620164
"0_00000000000000000c2f","CRANE CREEK",33211,"1985-05-01",0.33841127963459333
"0_00000000000000000c3d","DANIELS RES",33227,"1985-05-01",0.21101352361608247
"0_00000000000000000a86","DAVIS CREEK",14165,"1985-05-01",0.23939252796313615
"0_00000000000000001188","DELL SPRING",69020,"1985-05-01",0.1790906519117268
"0_000000000000000011d8","EAGLE CREEK",69235,"1985-05-01",0.2503485275392535
"0_00000000000000000257","ECKLER MTN.",89147,"1985-05-01",0.29103738951638397
"0_000000000000000011a8","EMIGRANT LK",69059,"1985-05-01",0.33140810016992894
"0_00000000000000000c12","GRANGEVILLE",33007,"1985-05-01",0.208209344668734
"0_00000000000000000f10","GREAT FALLS",53017,"1985-05-01",0.2686494669215566
"0_000000000000000011cb","HARNEY LAKE",69222,"1985-05-01",0.3496908469088551
"0_00000000000000000f91","HUMBOLDT NF",55902,"1985-05-01",0.15654327587696876
"0_00000000000000000f38","INSIDE ROAD",53800,"1985-05-01",0.16848071242506
"0_00000000000000000150","JOHNSON CAN",85102,"1985-05-01",0.20527539643284967
"0_00000000000000000c41","KYLE CANYON",33903,"1985-05-01",0.2658196873869481
"0_00000000000000000254","LAKE CHELAN",89113,"1985-05-01",0.42463957836533806
"0_000000000000000011b2","LAPHAM RES.",69139,"1985-05-01",0.18765051836443192
"0_00000000000000000225","LEAVENWORTH",89036,"1985-05-01",0.24346747758307336
"0_000000000000000011b5","MALHEUR NWR",69155,"1985-05-01",0.387401494555404
"0_000000000000000011d6","MCMINNVILLE",69233,"1985-05-01",0.41468060461895506
"0_00000000000000001190","MODOC POINT",69028,"1985-05-01",0.30457797514951984
"0_00000000000000000c24","NEZPERCE NF",33109,"1985-05-01",0.2014274589444633
"0_0000000000000000025d","NO CASCADES",89903,"1985-05-01",0.22321952774722945
"0_000000000000000011cd","QUARTZ MTN.",69224,"1985-05-01",0.2866688069149288
"0_000000000000000011b0","SAMS VALLEY",69127,"1985-05-01",0.3931234087536822
"0_000000000000000011ee","SANDY RIVER",69900,"1985-05-01",0.5414845879166961
"0_00000000000000000f92","SHELDON NWR",55903,"1985-05-01",0.16379050482282767
"0_00000000000000000c33","SILVER CITY",33217,"1985-05-01",0.2717731264587434
"0_0000000000000000022f","SPRING LAKE",89047,"1985-05-01",0.32491300985555316
"0_00000000000000000c1d","SPRINGFIELD",33021,"1985-05-01",0.360804149268428
"0_00000000000000000234","SULLIVAN LK",89052,"1985-05-01",0.26256301522982467
"0_000000000000000011ed","THREE FORKS",69256,"1985-05-01",0.27442873559589837
"0_000000000000000011ec","TROUT CREEK",69255,"1985-05-01",0.2862707346213602
"0_00000000000000000c3f","TWIN BUTTES",33901,"1985-05-01",0.21898890596946696
"0_00000000000000000251","WALLA WALLA",89083,"1985-05-01",0.23702381879692275
"0_000000000000000011c8","WARNER MTN.",69219,"1985-05-01",0.23865327611290552
"0_00000000000000000230","WHITE CHUCK",89048,"1985-05-01",0.276750861425795
"0_00000000000000000c30","YELLOW PINE",33212,"1985-05-01",0.19684948243780367
"0_0000000000000000025b","ARID LAND ER",89901,"1985-05-01",0.12652309186195632
"0_000000000000000011b9","BADGER CREEK",69203,"1985-05-01",0.20922320414436185
